Name,Title,Website URL,Wikipedia URL,Facebook URL,Instagram URL,LinkedIn URL,Bio Short,Bio,Featured Image URL
Calico,Longevity research company (Alphabet Inc. subsidiary),https://calicolabs.com,,,,,,Researches aging and age-related diseases,"Calico (California Life Company) is focused on understanding the biology that controls lifespan and translating discoveries into novel therapeutics.",
Unity Biotechnology,Biotech developing senolytic therapies,https://unitybiotechnology.com,,,,,,Develops drugs to eliminate senescent cells,"Unity Biotechnology is a clinical-stage biotech aiming to slow, halt, or reverse diseases of aging by targeting senescent cells.",
Life Biosciences,Holding company for multiple longevity startups,https://www.lifebiosciences.com,,,,,,Invests in scientific ventures targeting aging,"Life Biosciences partners with multiple companies researching new therapies to slow or reverse age-related decline.",
Juvenescence,Longevity-focused investment and development company,https://www.juvlabs.com,,,,,,Invests in and develops therapies for healthy aging,"Juvenescence supports biotech companies working on age-related therapies, aiming to extend both lifespan and healthspan.",
Retro Biosciences,Early-stage biotech focused on cellular reprogramming,https://retro.bio,,,,,,Startup investigating age-reversal technologies,"Retro Biosciences uses partial cellular reprogramming and other interventions to target aging at the cellular level.",
Altos Labs,Research institute studying cellular rejuvenation,https://altoslabs.com,,,,,,Funds and conducts research on reprogramming,"Altos Labs brings together scientists to develop cellular rejuvenation and epigenetic reprogramming therapies to reverse aging processes.",
Elysium Health,Consumer health company focusing on NAD+ supplementation,https://www.elysiumhealth.com,,,,,,Markets supplements aimed at cellular metabolism,"Elysium Health offers products like Basis, containing nicotinamide riboside and pterostilbene, to support cellular health and NAD+ levels.",
AgeX Therapeutics,Regenerative medicine and aging research company,https://www.agexinc.com,https://en.wikipedia.org/wiki/AgeX_Therapeutics,,,,Develops therapies targeting cellular immortality,"AgeX focuses on telomerase therapy and tissue regeneration to combat degenerative diseases of aging.",
Insilico Medicine,AI-driven drug discovery in aging,https://insilico.com,,,,,,Uses artificial intelligence for longevity R&D,"Insilico Medicine applies deep learning to discover biomarkers of aging and develop potential geroprotectors and other therapeutics.",
BioViva,Gene therapy biotech targeting aging,https://bioviva-science.com,,,,,,Explores in vivo gene therapies for life extension,"BioViva is known for testing gene therapy approaches in humans, aiming to slow or reverse aspects of biological aging.",
Rejuvenate Bio,Startup using gene therapy for age-related conditions,https://www.rejuvenatebio.com,,,,,,Develops therapies to treat cardiovascular and other diseases of aging,"Rejuvenate Bio was co-founded by George Church to explore gene therapy in animals and humans for age-related conditions.",
Oisín Biotechnologies,Gene therapy company removing senescent cells,https://www.oisinbio.com,,,,,,Seeks to eliminate senescent cells with suicide genes,"Oisín Biotechnologies uses a DNA plasmid-based system to target and destroy senescent cells, potentially reversing certain aspects of aging.",
Turn Biotechnologies,Cellular reprogramming startup,https://turn.bio,,,,,,Focused on epigenetic reprogramming of aged cells,"Turn Biotechnologies aims to reset cells to a more youthful state, tackling age-related diseases through partial reprogramming.",
Ichor Therapeutics,Biotech exploring therapeutics for age-related diseases,https://www.ichortherapeutics.com,,,,,,Develops drugs for macular degeneration and senescence,"Ichor runs several subsidiaries tackling various age-related pathologies, including enzyme therapy and senolytics.",
Cellularity,Cellular medicine company for longevity and cancer,https://www.cellularity.com,,,,,,Uses placental-derived cells for cellular therapies,"Cellularity focuses on harnessing postpartum placental cells for novel immunotherapy and potentially anti-aging applications.",
TA Sciences,Commercial telomerase activation provider,https://www.tasciences.com,,,,,,Markets supplements that claim to activate telomerase,"TA Sciences offers TA-65, a product purported to maintain or lengthen telomeres for healthier aging.",
Genflow Biosciences,Gene therapy targeting aging via sirtuin pathways,https://www.genflowbio.com,,,,,,Investigates sirtuin-based gene therapies,"Genflow Biosciences uses a variant of the SIRT6 gene from centenarians to combat age-related diseases.",
Cambrian Biopharma,Venture-backed biotech building a pipeline of aging therapies,https://www.cambrianbio.com,,,,,,Funds and oversees multiple aging-related drug programs,"Cambrian Biopharma invests in and manages early-stage programs targeting the hallmarks of aging.",
BioAge Labs,AI-driven drug discovery for aging and age-related diseases,https://bioagelabs.com,,,,,,Develops biomarkers and therapeutics for longevity,"BioAge Labs uses big data and machine learning to find novel drug targets that can extend lifespan and healthspan.",
Longevica,Biotech researching interventions for healthy lifespan,https://longevica.com,,,,,,Conducts lifespan experiments in animal models,"Longevica’s main approach includes testing compounds in mice to identify effective life-extension strategies.",
Gero,AI platform to discover longevity therapies,https://www.gero.ai,,,,,,Uses omics data and AI to find new anti-aging solutions,"Gero develops predictive biomarkers of aging and works on potential small-molecule interventions.",
FoxBio,Biotech focusing on resilience and longevity,,,,,,,Aimed at therapies for healthy aging,"FoxBio was rumored to be exploring immunotherapies for aging; public info is limited.",
Human Longevity Inc.,Genomics-based longevity analytics company,https://www.humanlongevity.com,,,,,,Provides whole genome sequencing and health assessments,"Human Longevity, founded by Craig Venter, focuses on integrating genomics with advanced imaging for personalized medicine and extended healthspan.",
Novo Biosciences,Regenerative medicine biotech (heart regeneration),https://novobiosciences.com,,,,,,Investigates small molecules for tissue regeneration,"Novo Biosciences is developing drugs that could spur the heart’s regenerative capacity, relevant for age-related cardiac decline.",
CellVie,Mitochondrial therapeutics startup,https://cellvie.com,,,,,,Works on mitochondria transplant for age-related dysfunction,"CellVie is a spin-out from Harvard, aiming to deliver healthy mitochondria to aging or damaged tissues.",
AgenT Bio,Alzheimer’s therapy developer,https://agentbiocorp.com,,,,,,Targets amyloid beta pathology in brain aging,"AgenT Bio is creating immunotherapies to remove amyloid aggregates, potentially addressing one cause of cognitive decline in aging.",
Aeovian Pharmaceuticals,Develops safer mTOR inhibitors,https://www.aeovian.com,,,,,,Focuses on selective mTORC1 modulation,"Aeovian aims to harness rapamycin-like benefits without side effects, prolonging healthspan by modulating mTOR signaling.",
BioSplice Therapeutics,Formerly Samumed, focusing on regenerative medicine,https://biosplice.com,,,,,,Explores Wnt pathway modulation for tissue regeneration,"BioSplice researches small molecules targeting the Wnt pathway to treat osteoarthritis, hair loss, and other age-related conditions.",
Deciduous Therapeutics,Startup removing senescent immune cells,,,,,,,Focuses on senolytic immunotherapies,"Deciduous uses T-cells or immunotherapy approaches to clear senescent cells, especially in immunosenescence.",
Rubedo Life Sciences,Platform for targeted elimination of senescent cells,https://rubedolife.com,,,,,,Develops selective senolytics with small molecules,"Rubedo identifies surface markers on senescent cells to kill them without harming healthy tissue.",
Senolytx,Biotech focusing on senolytics for age-related diseases,,,,,,,Co-founded by leading gerontologists,"Senolytx aims to remove senescent cells to mitigate chronic inflammation and extend healthspan.",
